id,url,size,price,obcina
6567380,https://www.nepremicnine.net/oglasi-oddaja/brezice-center-brezic-stanovanje_6567380/,12,300.00 EUR,Brežice
7042976,https://www.nepremicnine.net/oglasi-oddaja/bs-3-bs3-stanovanje_7042976/,18,250.00 EUR,Ljubljana
7039697,https://www.nepremicnine.net/oglasi-oddaja/cesca-vas-stanovanje_7039697/,15,270.00 EUR,Novo mesto
6988010,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_6988010/,15,180.00 EUR,Ajdovščina
7033373,https://www.nepremicnine.net/oglasi-oddaja/cerknica-stanovanje_7033373/,20,250.00 EUR,Cerknica
7041951,https://www.nepremicnine.net/oglasi-oddaja/celje-stanovanje_7041951/,15,200.00 EUR,Celje
7041265,https://www.nepremicnine.net/oglasi-oddaja/bs-3-stanovanje_7041265/,18,240.00 EUR,Ljubljana
7035041,https://www.nepremicnine.net/oglasi-oddaja/bericevo-stanovanje_7035041/,18,400.00 EUR,Dol pri Ljubljani
6988011,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_6988011/,15,210.00 EUR,Ajdovščina
7008019,https://www.nepremicnine.net/oglasi-oddaja/bertoki-stanovanje_7008019/,20,550.00 EUR,Koper
6721338,https://www.nepremicnine.net/oglasi-oddaja/brezice-stanovanje_6721338/,18,185.00 EUR,Brežice
6721752,https://www.nepremicnine.net/oglasi-oddaja/brezice-cesta-prvih-borcev-33-stanovanje_6721752/,20,185.00 EUR,Brežice
7042496,https://www.nepremicnine.net/oglasi-oddaja/bs-3-vojkova-cesta-91-stanovanje_7042496/,10,300.00 EUR,Ljubljana
6997007,https://www.nepremicnine.net/oglasi-oddaja/bizovik-stanovanje_6997007/,25,300.00 EUR,Ljubljana
6969987,https://www.nepremicnine.net/oglasi-oddaja/dolenja-vas-stanovanje_6969987/,15,220.00 EUR,Železniki
6439948,https://www.nepremicnine.net/oglasi-oddaja/crnomelj-enoposteljne-sobe-stanovanje_6439948/,15,230.00 EUR,Črnomelj
7038345,https://www.nepremicnine.net/oglasi-oddaja/brezje-pri-dobrovi-61-stanovanje_7038345/,12.6,285.00 EUR,Dobrova - Polhov Gradec
7041340,https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_7041340/,16,345.00 EUR,Ljubljana
7040915,https://www.nepremicnine.net/oglasi-oddaja/brdo-stanovanje_7040915/,8,220.00 EUR,Ljubljana
7025008,https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_7025008/,140.3,290.00 EUR,Ljubljana
7037758,https://www.nepremicnine.net/oglasi-oddaja/bizovik-stanovanje_7037758/,30,220.00 EUR,Ljubljana
6985101,https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6985101/,20,300.00 EUR,Ljubljana
7013500,https://www.nepremicnine.net/oglasi-oddaja/betnava-stanovanje_7013500/,14.7,300.00 EUR,Maribor
